alabama al
alaska ak
alberta ab
american_samoa as
arkansas ar
british_columbia bc
california ca
colorado co
connecticut ct
delaware de
district_of_columbia dc
federated_states_of_micronesia fm
florida fl
georgia ga
guam gu
hawaii hi
idaho id
illinois il
indiana in
iowa ia
kansas ks
kentucky ky
louisiana la
maine me
manitoba mb
marshall_islands mh
maryland md
massachusetts ma
michigan mi
minnesota mn
mississippi ms
missouri mo
montana mt
nebraska ne
nevada nv
newfoundland_and_labrador nl
new_brunswick nb
new_hampshire nh
new_jersey nj
new_mexico nm
new_york ny
northern_mariana_islands mp
northwest_territories nt
north_carolina nc
north_dakota nd
nova_scotia ns
nunavut nu
ohio oh
oklahoma ok
ontario on
oregon or
palau pw
pennsylvania pa
prince_edward_island pe
puerto_rico pr
quebec qc
rhode_island ri
saskatchewan sk
south_carolina sc
south_dakota sd
tennessee tn
texas tx
utah ut
vermont vt
virginia va
virgin_islands vi
washington wa
west_virginia wv
wisconsin wi
wyoming wy
yukon yt
